,series_description,country,year,value,source,nature,age,location,sex
583,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,186,Hungarian Central Statistical Office based on Time use survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
584,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,242,Hungarian Central Statistical Office based on Time use survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
585,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,101,Hungarian Central Statistical Office based on Time use survey,C,15+,RURAL,0
586,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,239,Hungarian Central Statistical Office based on Time use survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
587,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,97,Hungarian Central Statistical Office based on Time use survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
588,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,245,Hungarian Central Statistical Office based on Time use survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
589,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,119,Hungarian Central Statistical Office based on Time use survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
590,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,264,Hungarian Central Statistical Office based on Time use survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
591,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,136,Hungarian Central Statistical Office based on Time use survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
592,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,243,Hungarian Central Statistical Office based on Time use survey,C,65+,RURAL,1
593,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,114,Hungarian Central Statistical Office based on Time use survey,C,65+,RURAL,0
594,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,96,Hungarian Central Statistical Office based on Time use survey,C,10+,RURAL,0
595,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,213,Hungarian Central Statistical Office based on Time use survey,C,10+,RURAL,1
596,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,133,Hungarian Central Statistical Office based on Time use survey,C,65+,ALLAREA,0
597,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,200,Hungarian Central Statistical Office based on Time use survey,C,10+,ALLAREA,1
598,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,93,Hungarian Central Statistical Office based on Time use survey,C,10+,ALLAREA,0
599,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,94,Hungarian Central Statistical Office based on Time use survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
600,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Hungary,2010,45,Hungarian Central Statistical Office based on Time use survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
601,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Iran (Islamic Republic of),2009,66,Calculated by UNSD based on available country data from the Time Use Survey in Urban Areas to apply ICATUS.,CA,15+,ALLAREA,0
602,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Iran (Islamic Republic of),2009,270,Calculated by UNSD based on available country data from the Time Use Survey in Urban Areas to apply ICATUS.,CA,15+,ALLAREA,1
603,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Iraq,2007,302,Calculated by UNSD based on available country data from the Time use survey in Iraq as Module of Iraq Household Socio-Economic Survey - HSES to apply ICATUS.,CA,10+,ALLAREA,1
604,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Iraq,2007,55,Calculated by UNSD based on available country data from the Time use survey in Iraq as Module of Iraq Household Socio-Economic Survey - HSES to apply ICATUS.,CA,10+,ALLAREA,0
605,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Ireland,2005,182,Calculated by UNSD based on available country data from the The Irish National Time-Use Survey 2005 to apply ICATUS.,CA,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
606,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Ireland,2005,100,Calculated by UNSD based on available country data from the The Irish National Time-Use Survey 2005 to apply ICATUS.,CA,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
607,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,297,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,65+,ALLAREA,1
608,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,170,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,65+,ALLAREA,0
609,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,151,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
610,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,84,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
611,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,32,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
612,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,314,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
613,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,95,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
614,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,334,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
615,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,105,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,15+,ALLAREA,0
616,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,261,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,15+,ALLAREA,1
617,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,228,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
618,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Italy,2014,72,Italian National Institute of Statistics (Istat) based on National Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
619,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,178,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,10+,ALLAREA,1
620,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,36,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,10+,ALLAREA,0
621,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,16,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
622,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,209,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,65+,ALLAREA,1
623,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,59,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,65+,ALLAREA,0
624,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,33,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
625,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,186,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,15+,ALLAREA,1
626,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,37,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,15+,ALLAREA,0
627,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,120,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",ALLAREA,1
628,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,26,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",ALLAREA,0
629,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,203,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
630,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,228,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
631,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,28,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
632,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,30,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
633,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,236,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
634,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Japan,2016,39,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
635,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,217,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,10+,ALLAREA,1
636,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,227,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
637,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,58,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
638,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,219,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
639,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,68,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
640,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,247,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
641,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,81,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
642,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,55,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
643,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,161,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
644,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,204,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,65+,ALLAREA,1
645,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,95,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,65+,ALLAREA,0
646,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,231,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,10+,RURAL,1
647,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,78,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,10+,RURAL,0
648,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,255,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
649,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,94,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
650,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,178,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,65+,RURAL,1
651,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,93,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,65+,RURAL,0
652,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,208,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,10+,URBAN,1
653,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,63,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,10+,URBAN,0
654,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,247,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
655,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,67,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
656,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,235,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
657,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,77,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
658,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,69,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,10+,ALLAREA,0
659,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,180,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
660,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,61,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
661,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,229,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,15+,ALLAREA,1
662,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,219,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,65+,URBAN,1
663,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,97,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,65+,URBAN,0
664,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,65,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,15+,URBAN,0
665,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,218,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,15+,URBAN,1
666,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,73,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,15+,ALLAREA,0
667,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,250,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
668,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,87,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
669,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,204,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
670,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,69,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
671,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,247,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,15+,RURAL,1
672,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,82,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,15+,RURAL,0
673,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,280,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
674,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,260,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
675,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,89,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
676,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Kazakhstan,2018,80,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
677,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,194,Statistics Korea based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
678,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,32,Statistics Korea based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
679,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,216,Statistics Korea based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
680,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,46,Statistics Korea based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
681,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,196,Statistics Korea based on Time Use Survey,C,65+,URBAN,1
682,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,67,Statistics Korea based on Time Use Survey,C,65+,URBAN,0
683,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,173,Statistics Korea based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
684,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,216,Statistics Korea based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
685,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,49,Statistics Korea based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
686,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,196,Statistics Korea based on Time Use Survey,C,65+,ALLAREA,1
687,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,69,Statistics Korea based on Time Use Survey,C,65+,ALLAREA,0
688,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,177,Statistics Korea based on Time Use Survey,C,10+,RURAL,1
689,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,45,Statistics Korea based on Time Use Survey,C,10+,RURAL,0
690,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,51,Statistics Korea based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
691,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,165,Statistics Korea based on Time Use Survey,C,15+,URBAN,1
692,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,62,Statistics Korea based on Time Use Survey,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
693,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,197,Statistics Korea based on Time Use Survey,C,65+,RURAL,1
694,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,185,Statistics Korea based on Time Use Survey,C,15+,RURAL,1
695,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,160,Statistics Korea based on Time Use Survey,C,10+,ALLAREA,1
696,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,36,Statistics Korea based on Time Use Survey,C,10+,ALLAREA,0
697,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,46,Statistics Korea based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
698,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,37,Statistics Korea based on Time Use Survey,C,15+,URBAN,0
699,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,171,Statistics Korea based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
700,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,33,Statistics Korea based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
701,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,195,Statistics Korea based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
702,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,21,Statistics Korea based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
703,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,167,Statistics Korea based on Time Use Survey,C,15+,ALLAREA,1
704,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,38,Statistics Korea based on Time Use Survey,C,15+,ALLAREA,0
705,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,46,Statistics Korea based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
706,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,35,Statistics Korea based on Time Use Survey,C,10+,URBAN,0
707,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,156,Statistics Korea based on Time Use Survey,C,10+,URBAN,1
708,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,75,Statistics Korea based on Time Use Survey,C,65+,RURAL,0
709,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,34,Statistics Korea based on Time Use Survey,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
710,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,33,Statistics Korea based on Time Use Survey,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
711,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,19,Statistics Korea based on Time Use Survey,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
712,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Republic of Korea,2014,47,Statistics Korea based on Time Use Survey,C,15+,RURAL,0
